"Parameter","Value","Protocol","Protocol details"
"mrpDomainID","FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF","SNMP","OID: 1.0.62439.1.1.1.1.2B[1]"
"mrpDomainID","FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF","SNMP","OID: 1.0.62439.1.1.1.1.2B[2]"
"mrpDomainID","FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF","SNMP","OID: 1.0.62439.1.1.1.1.2B[3]"
"mrpDomainID","FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF","SNMP","OID: 1.0.62439.1.1.1.1.2B[4]"
"mrpDomainIDSubId","1.0.62439.1.1.1.1.2.1","SNMP","OID: 1.0.62439.1.1.1.1.2B[1]"
"mrpDomainIDSubId","1.0.62439.1.1.1.1.2.2","SNMP","OID: 1.0.62439.1.1.1.1.2B[2]"
"mrpDomainIDSubId","1.0.62439.1.1.1.1.2.3","SNMP","OID: 1.0.62439.1.1.1.1.2B[3]"
"mrpDomainIDSubId","1.0.62439.1.1.1.1.2.4","SNMP","OID: 1.0.62439.1.1.1.1.2B[4]"
"mrpDomainName","default-mrpdomain","SNMP","OID: 1.0.62439.1.1.1.1.3B[1]"
"mrpDomainName","default-mrpdomain","SNMP","OID: 1.0.62439.1.1.1.1.3B[2]"
"mrpDomainName","default-mrpdomain","SNMP","OID: 1.0.62439.1.1.1.1.3B[3]"
"mrpDomainName","default-mrpdomain","SNMP","OID: 1.0.62439.1.1.1.1.3B[4]"
"mrpDomainAdminRole","3","SNMP","OID: 1.0.62439.1.1.1.1.4B[1]"
"mrpDomainAdminRole","0","SNMP","OID: 1.0.62439.1.1.1.1.4B[2]"
"mrpDomainAdminRole","0","SNMP","OID: 1.0.62439.1.1.1.1.4B[3]"
"mrpDomainAdminRole","0","SNMP","OID: 1.0.62439.1.1.1.1.4B[4]"
"mrpDomainOperRole","3","SNMP","OID: 1.0.62439.1.1.1.1.5B[1]"
"mrpDomainOperRole","0","SNMP","OID: 1.0.62439.1.1.1.1.5B[2]"
"mrpDomainOperRole","0","SNMP","OID: 1.0.62439.1.1.1.1.5B[3]"
"mrpDomainOperRole","0","SNMP","OID: 1.0.62439.1.1.1.1.5B[4]"
"mrpDomainRingPort1","1","SNMP","OID: 1.0.62439.1.1.1.1.6B[1]"
"mrpDomainRingPort1","0","SNMP","OID: 1.0.62439.1.1.1.1.6B[2]"
"mrpDomainRingPort1","0","SNMP","OID: 1.0.62439.1.1.1.1.6B[3]"
"mrpDomainRingPort1","0","SNMP","OID: 1.0.62439.1.1.1.1.6B[4]"
"mrpDomainRingPort1State","3","SNMP","OID: 1.0.62439.1.1.1.1.7B[1]"
"mrpDomainRingPort1State","1","SNMP","OID: 1.0.62439.1.1.1.1.7B[2]"
"mrpDomainRingPort1State","1","SNMP","OID: 1.0.62439.1.1.1.1.7B[3]"
"mrpDomainRingPort1State","1","SNMP","OID: 1.0.62439.1.1.1.1.7B[4]"
"mrpDomainRingPort2","2","SNMP","OID: 1.0.62439.1.1.1.1.8B[1]"
"mrpDomainRingPort2","0","SNMP","OID: 1.0.62439.1.1.1.1.8B[2]"
"mrpDomainRingPort2","0","SNMP","OID: 1.0.62439.1.1.1.1.8B[3]"
"mrpDomainRingPort2","0","SNMP","OID: 1.0.62439.1.1.1.1.8B[4]"
"mrpDomainRingPort2State","2","SNMP","OID: 1.0.62439.1.1.1.1.9B[1]"
"mrpDomainRingPort2State","1","SNMP","OID: 1.0.62439.1.1.1.1.9B[2]"
"mrpDomainRingPort2State","1","SNMP","OID: 1.0.62439.1.1.1.1.9B[3]"
"mrpDomainRingPort2State","1","SNMP","OID: 1.0.62439.1.1.1.1.9B[4]"
"mrpDomainState","00","SNMP","OID: 1.0.62439.1.1.1.1.10B[1]"
"mrpDomainState","80","SNMP","OID: 1.0.62439.1.1.1.1.10B[2]"
"mrpDomainState","80","SNMP","OID: 1.0.62439.1.1.1.1.10B[3]"
"mrpDomainState","80","SNMP","OID: 1.0.62439.1.1.1.1.10B[4]"
"mrpDomainError","80","SNMP","OID: 1.0.62439.1.1.1.1.11B[1]"
"mrpDomainError","80","SNMP","OID: 1.0.62439.1.1.1.1.11B[2]"
"mrpDomainError","80","SNMP","OID: 1.0.62439.1.1.1.1.11B[3]"
"mrpDomainError","80","SNMP","OID: 1.0.62439.1.1.1.1.11B[4]"
"mrpDomainRingOpenCount","1","SNMP","OID: 1.0.62439.1.1.1.1.15B[1]"
"mrpDomainRingOpenCount","0","SNMP","OID: 1.0.62439.1.1.1.1.15B[2]"
"mrpDomainRingOpenCount","0","SNMP","OID: 1.0.62439.1.1.1.1.15B[3]"
"mrpDomainRingOpenCount","0","SNMP","OID: 1.0.62439.1.1.1.1.15B[4]"
"mrpDomainRingLastRingOpenChange","160","SNMP","OID: 1.0.62439.1.1.1.1.16B[1]"
"mrpDomainRingLastRingOpenChange","0","SNMP","OID: 1.0.62439.1.1.1.1.16B[2]"
"mrpDomainRingLastRingOpenChange","0","SNMP","OID: 1.0.62439.1.1.1.1.16B[3]"
"mrpDomainRingLastRingOpenChange","0","SNMP","OID: 1.0.62439.1.1.1.1.16B[4]"
"mrpDomainRoundTripDelayMax","7","SNMP","OID: 1.0.62439.1.1.1.1.17B[1]"
"mrpDomainRoundTripDelayMax","0","SNMP","OID: 1.0.62439.1.1.1.1.17B[2]"
"mrpDomainRoundTripDelayMax","0","SNMP","OID: 1.0.62439.1.1.1.1.17B[3]"
"mrpDomainRoundTripDelayMax","0","SNMP","OID: 1.0.62439.1.1.1.1.17B[4]"
"mrpDomainRoundTripDelayMin","1","SNMP","OID: 1.0.62439.1.1.1.1.18B[1]"
"mrpDomainRoundTripDelayMin","0","SNMP","OID: 1.0.62439.1.1.1.1.18B[2]"
"mrpDomainRoundTripDelayMin","0","SNMP","OID: 1.0.62439.1.1.1.1.18B[3]"
"mrpDomainRoundTripDelayMin","0","SNMP","OID: 1.0.62439.1.1.1.1.18B[4]"
